NPS,Class,File,Disc OD,Plate,Bolts,Bolt dia,Bolt circle,Stem,Crossbar,Bar depth,Bolt gap per side,Crossbar starts,Overall length,Approx lb
4,600,NPS4_CL600_skillet.dxf,7-1/2,5/8,8,7/8,8-1/2,2,5-1/2,1-1/2,0.189,7.375,12.625,11
5,600,NPS5_CL600_skillet.dxf,9-3/8,3/4,8,1,10-1/2,2-5/8,7-1/4,2,0.197,8.500,15.188,20
6,600,NPS6_CL600_skillet.dxf,10-3/8,7/8,12,1,11-1/2,1-1/2,4,1-1/8,0.238,9.000,15.312,24
8,600,NPS8_CL600_skillet.dxf,12-1/2,1-1/8,12,1-1/8,13-3/4,2,5-1/2,1-1/2,0.217,10.250,18.000,44
10,600,NPS10_CL600_skillet.dxf,15-5/8,1-3/8,16,1-1/4,17,1-5/8,4-1/2,1-1/4,0.221,12.000,21.062,80
12,600,NPS12_CL600_skillet.dxf,17-7/8,1-5/8,20,1-1/4,19-1/4,1-3/8,3-3/4,1,0.193,13.000,22.938,120
14,600,NPS14_CL600_skillet.dxf,19-1/4,1-3/4,20,1-3/8,20-3/4,1-3/8,3-3/4,1,0.248,13.875,24.500,149
16,600,NPS16_CL600_skillet.dxf,22-1/8,2,20,1-1/2,23-3/4,1-3/4,4-3/4,1-1/4,0.233,15.500,27.812,226
18,600,NPS18_CL600_skillet.dxf,24,2-1/8,20,1-5/8,25-3/4,2,5-1/2,1-1/2,0.202,16.625,30.125,283
20,600,NPS20_CL600_skillet.dxf,26-3/4,2-1/2,24,1-5/8,28-1/2,1-5/8,4-1/2,1-1/4,0.235,18.000,32.625,408
24,600,NPS24_CL600_skillet.dxf,31,2-7/8,24,1-7/8,33,2,5-1/2,1-1/2,0.216,20.500,37.500,630
1/2,900,NPS0.5_CL900_skillet.dxf,2-3/8,1/4,4,3/4,3-1/4,5/8,2-1/2,3/4,0.462,4.375,6.312,1
3/4,900,NPS0.75_CL900_skillet.dxf,2-5/8,1/4,4,3/4,3-1/2,3/4,2-1/2,3/4,0.487,4.560,6.622,1
1,900,NPS1_CL900_skillet.dxf,3,1/4,4,7/8,4,7/8,2-1/2,3/4,0.539,4.940,7.190,1
1-1/4,900,NPS1.25_CL900_skillet.dxf,3-3/8,3/8,4,7/8,4-3/8,1,2-3/4,3/4,0.609,5.125,7.562,2
1-1/2,900,NPS1.5_CL900_skillet.dxf,3-3/4,3/8,4,1,4-7/8,1-1/8,3,7/8,0.661,5.500,8.250,2
2,900,NPS2_CL900_skillet.dxf,5-1/2,1/2,8,7/8,6-1/2,1-1/8,3,7/8,0.244,6.250,9.875,4
2-1/2,900,NPS2.5_CL900_skillet.dxf,6-3/8,1/2,8,1,7-1/2,1-3/8,3-3/4,1,0.248,6.810,10.997,6
3,900,NPS3_CL900_skillet.dxf,6-1/2,5/8,8,7/8,7-1/2,1-1/2,4,1-1/8,0.248,6.750,11.125,8
4,900,NPS4_CL900_skillet.dxf,8,3/4,8,1-1/8,9-1/4,2,5-1/2,1-1/2,0.207,7.750,13.250,14
